"","ID","size_class","Species","Season","Year","Slough","Site","Habitat","Length","Wet_Weight","Sex","Amphipoda","Araneae","Argulus","Belo/Naucor","Centrarchid","Chironomid","Cladocera","Coleoptera","Collembola","Copepoda","Cyprinodontid","Detritus","Diptera","Empty","Ephemeroptera","Green Algae","Hemiptera","Hydrachnidia","Hymenoptera","Misc","Misc Fish","Misc Invert","Mollusca","Odonata","Oligochaeta","Ostracoda","Palaemonetes","Periphyton","Procambarus","Trichoptera","Vasc Plant"
"11","AN06","A.nat1","AMENAT","Dry",2019,"SRS","AH13","Pond",77.44,10.835,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"12","AN07","A.nat1","AMENAT","Dry",2019,"SRS","7A","Marsh",82,13.293,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"13","AN08","A.nat2","AMENAT","Dry",2019,"SRS","AHWG16","Pond",134,83.349,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","AN09","A.nat4","AMENAT","Dry",2019,"SRS","AHWG16","Pond",180,135.159,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"15","AN10","A.nat1","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",80.01,13.592,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"16","AN11","A.nat2","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",116,46.582,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","AN12","A.nat2","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",107,34.58,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","AN13","A.nat2","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",114,39.521,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","AN14","A.nat3","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",148,79.21,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","AN15","A.nat3","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",155,93.732,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"21","AN16","A.nat3","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",163,117.985,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"22","AN17","A.nat4","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",188,147.136,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","AN18","A.nat1","AMENAT","Dry",2019,"SRS","8A","Marsh",92.65,21.488,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","AN19","A.nat4","AMENAT","Wet",2018,"SRS","37","Marsh",210,300,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","AN20","A.nat4","AMENAT","Wet",2018,"SRS","37","Marsh",192,250,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","AN21","A.nat3","AMENAT","Dry",2019,"SRS","AHWG16","Pond",175,250,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"27","AN22","A.nat4","AMENAT","Dry",2019,"SRS","AHWG16","Pond",210,250,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"28","AN23","A.nat4","AMENAT","Dry",2019,"SRS","AHWG16","Pond",212,280,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","AN24","A.nat1","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",90.36,12.17,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","AN25","A.nat3","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",146.45,65.268,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"31","AN26","A.nat3","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",146.46,71.766,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"32","AN27","A.nat4","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",184,113.312,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"33","AN28","A.nat4","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",178,118.903,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","AN29","A.nat4","AMENAT","Dry",2019,"SRS","AHCFPB","Pond",200,129.204,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","AN30","A.nat4","AMENAT","Dry",2019,"SRS","AHWG16","Pond",198,290,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"36","AT01","A.gry1","ACRIPT","Wet",2018,"SRS","CPB","Pond",8.93,0.085,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
"37","AT03","A.gry1","ACRIPT","Wet",2018,"SRS","LJB","Pond",16.12,0.758,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"38","AY10","A.say1","APHSAY","Dry",2019,"SRS","7A","Marsh",66.98,6.196,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","BB01","B.bel1","BELBEL","Dry",2019,"TSL","AH02","Marsh",38.55,0.784,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","BB02","B.bel1","BELBEL","Wet",2018,"SRS","AH13","Pond",45.55,1.028,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"41","BB03","B.bel1","BELBEL","Wet",2018,"TSL","AH03","Pond",49.56,1.138,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"42","BB04","B.bel1","BELBEL","Wet",2018,"TSL","AH09","NP",44.6,0.927,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","BB06","B.bel1","BELBEL","Wet",2018,"SRS","LJB","Pond",15.06,0.022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"44","BB09","B.bel1","BELBEL","Dry",2019,"SRS","AH11","Pond",53.86,2.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"45","BB10","B.bel1","BELBEL","Dry",2019,"SRS","AH11","Pond",61.32,3.146,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","BB14","B.bel1","BELBEL","Wet",2018,"SRS","AHCFPB","Pond",61.53,3.101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"47","BB15","B.bel1","BELBEL","Dry",2019,"SRS","7A","Marsh",60.23,2.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"48","CB15","C.bim1","CICBIM","Wet",2018,"TSL","AH02","NP",38.71,2.664,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"49","CB16","C.bim1","CICBIM","Wet",2018,"TSL","AH02","NP",37.13,2.344,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"50","CB18","C.bim1","CICBIM","Wet",2018,"TSL","AH05","NP",49.34,7.428,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"51","CL01","C.bat1","CLABAT","Wet",2018,"SRS","AH8C","Pond",201,99.89,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","CL02","C.bat1","CLABAT","Wet",2018,"SRS","AH02","Pond",190,79.608,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","CL03","C.bat1","CLABAT","Wet",2018,"TSL","AH02","Pond",235,137.962,NA,247,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"54","CL04","C.bat1","CLABAT","Wet",2018,"SRS","23A","Marsh",164,18.609,NA,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
"55","CL05","C.bat1","CLABAT","Dry",2019,"SRS","LJB","Pond",69.09,7.615,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"56","CL06","C.bat1","CLABAT","Wet",2018,"SRS","37","Marsh",220,107.599,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","CL07","C.bat1","CLABAT","Wet",2018,"SRS","37","Marsh",230,149.13,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"58","CL08","C.bat1","CLABAT","Wet",2018,"TSL","TSC","Marsh",269,160,NA,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"59","CL09","C.bat1","CLABAT","Wet",2018,"SRS","37","Marsh",250,290,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"60","CL10","C.bat1","CLABAT","Wet",2018,"SRS","37","Marsh",240,250,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"61","CL11","C.bat1","CLABAT","Wet",2018,"SRS","37","Marsh",231,200,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","CL12","C.bat1","CLABAT","Wet",2018,"SRS","37","Marsh",260,290,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,1,0,1,0,0
"63","CL13","C.bat1","CLABAT","Wet",2018,"SRS","37","Marsh",240,240,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
"64","CL14","C.bat1","CLABAT","Wet",2018,"SRS","37","Marsh",232,210,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","CL15","C.bat1","CLABAT","Wet",2018,"SRS","37","Marsh",250,250,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"66","CL16","C.bat1","CLABAT","Wet",2018,"SRS","AHWG16","Pond",270,210,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"67","CM05","C.man1","CICMAN","Wet",2018,"TSL","AH05","NP",46.56,3.255,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
"68","CM07","C.man1","CICMAN","Wet",2018,"TSL","AH1","Pond",87.14,22.026,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","CM08","C.man1","CICMAN","Dry",2019,"SRS","AHCFPB","Pond",86.1,17.723,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"70","CO01","C.oce1","CICOCE","Wet",2018,"TSL","AH59A","Pond",182,149,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","CO02","C.oce1","CICOCE","Wet",2018,"TSL","AH59A","Pond",188,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"72","CO03","C.oce1","CICOCE","Wet",2018,"SRS","8A","Marsh",101.41,51.819,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","CU03","C.uro1","CICURO","Wet",2018,"TSL","AH09","Marsh",50.9,4.98,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"74","CU08","C.uro1","CICURO","Wet",2018,"TSL","AHMDB","NP",40.23,2.162,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","CU09","C.uro2","CICURO","Wet",2018,"SRS","37B","Pond",194,300,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"76","CU10","C.uro1","CICURO","Wet",2018,"SRS","8C","Pond",101.85,50.01,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"77","CU11","C.uro1","CICURO","Wet",2018,"SRS","8B","Marsh",56.61,7.032,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"78","CU12","C.uro1","CICURO","Wet",2018,"SRS","8B","Marsh",99.04,42.427,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"79","CU13","C.uro1","CICURO","Wet",2018,"SRS","8B","Marsh",101,43.284,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0
"80","CU14","C.uro2","CICURO","Wet",2018,"TSL","AHMDB","Marsh",150,150,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"81","CU15","C.uro2","CICURO","Wet",2018,"SRS","37","Marsh",184,250,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"82","CU16","C.uro2","CICURO","Wet",2018,"SRS","37","Marsh",212,250,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","CU17","C.uro2","CICURO","Wet",2018,"SRS","AHWG16","Marsh",130.88,107.07,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"84","CU18","C.uro1","CICURO","Wet",2018,"SRS","AHWG16","Marsh",63.15,11.61,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"85","CU19","C.uro1","CICURO","Wet",2018,"SRS","AHWG16","Marsh",57.91,8.063,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0
"86","CU20","C.uro2","CICURO","Wet",2018,"SRS","AHWG16","Marsh",186,250,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"87","CU21","C.uro2","CICURO","Wet",2018,"SRS","AHWG16","Marsh",166,150,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"88","CU22","C.uro2","CICURO","Wet",2018,"TSL","MDA","Pond",174,200,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"89","CU23","C.uro2","CICURO","Wet",2018,"SRS","AH13","Pond",150,200,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"90","CU24","C.uro2","CICURO","Wet",2018,"SRS","37","Marsh",142,100,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","CU29","C.uro1","CICURO","Wet",2018,"SRS","AHWG16","Marsh",106.26,53.048,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0
"92","CU33","C.uro1","CICURO","Wet",2018,"TSL","AH05","NP",34.22,1.322,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0
"93","CU34","C.uro2","CICURO","Wet",2018,"TSL","AH59A","Pond",134,90,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","CU36","C.uro2","CICURO","Wet",2018,"TSL","AH59A","Pond",169,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","CU37","C.uro2","CICURO","Wet",2018,"TSL","AH02","Pond",170,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","CU38","C.uro1","CICURO","Wet",2018,"SRS","AHWG16","Marsh",71.62,16.036,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"97","CU59","C.uro1","CICURO","Wet",2018,"SRS","8A","Marsh",61.83,9.286,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"98","CU60","C.uro1","CICURO","Wet",2018,"SRS","8A","Marsh",62.91,8.277,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"99","CU61","C.uro1","CICURO","Wet",2018,"SRS","8A","Marsh",60.74,8.996,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0
"100","CU62","C.uro1","CICURO","Wet",2018,"SRS","8A","Marsh",62.39,10.306,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0
"101","CU63","C.uro1","CICURO","Wet",2018,"SRS","8A","Marsh",65.04,11.329,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"102","CU64","C.uro1","CICURO","Wet",2018,"SRS","8A","Marsh",99.92,43.148,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,21,0,0,0,0,0,0,0,0
"103","CU65","C.uro1","CICURO","Wet",2018,"SRS","8A","Marsh",115.54,67.849,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0
"104","CU66","C.uro1","CICURO","Wet",2018,"TSL","CPC","Pond",114.56,55.819,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,1,0,0,0,0
"105","CU68","C.uro2","CICURO","Wet",2018,"TSL","TSA","Pond",128.01,82.494,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"106","CU69","C.uro1","CICURO","Wet",2018,"SRS","23C","Pond",109.57,56.341,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,26,1,0,0,0,0,0,0,0
"107","CU70","C.uro2","CICURO","Wet",2018,"SRS","23B","Pond",121.74,67.071,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","CU71","C.uro1","CICURO","Wet",2018,"SRS","23B","Pond",97.38,35.078,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"109","CU72","C.uro1","CICURO","Wet",2018,"SRS","23B","Pond",56.13,5.602,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"110","CU73","C.uro1","CICURO","Wet",2018,"SRS","23B","Pond",58.05,6.826,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0
"111","CU74","C.uro1","CICURO","Wet",2018,"TSL","CPA","Pond",117.84,69.819,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","CU76","C.uro1","CICURO","Wet",2018,"SRS","6C","Pond",59.14,8.654,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0
"113","CU77","C.uro1","CICURO","Dry",2019,"SRS","7A","Marsh",44.04,3.122,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"114","CU78","C.uro1","CICURO","Wet",2018,"SRS","23A","Marsh",78.55,27.521,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","CU79","C.uro1","CICURO","Wet",2018,"SRS","23A","Marsh",85.52,60.549,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"116","CU81","C.uro1","CICURO","Dry",2019,"SRS","8A","Marsh",54.47,6.911,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0
"117","CU82","C.uro1","CICURO","Dry",2019,"SRS","8A","Marsh",65.99,10.335,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"118","CU83","C.uro1","CICURO","Dry",2019,"SRS","8A","Marsh",99.88,38.937,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"119","CU84","C.uro2","CICURO","Wet",2018,"TSL","AH09","Pond",176,290,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","CU85","C.uro2","CICURO","Dry",2019,"SRS","AHWG16","Pond",141.56,200,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"121","CV03","C.var1","CIPVAR","Wet",2018,"SRS","8A","Marsh",22.43,0.354,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"122","EA01","E.ame1","ESOAME","Dry",2019,"SRS","8A","Marsh",156,45.604,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
