"","TA","SEA","SEAc"
"TSL_NP_Wet.L.goo1",0.112232394788816,0.0646238598340931,0.0738558398103921
"TSL_NP_Wet.L.goo2",0.0591168002565059,0.061679871957353,0.0822398292764707
"TSL_Pond_Dry.G.hol1",1.28927836844845,0.466379450743143,0.48581192785744
"TSL_Pond_Dry.G.hol2",2.92378056391024,0.905449277723613,0.948565909996166
"TSL_Pond_Dry.H.for2",0.00775967343025465,0.014074490734461,0.0281489814689221
"TSL_Pond_Dry.L.goo1",0.00575061922781305,0.00668937006503,0.010034055097545
"TSL_Pond_Dry.L.goo2",0.342327438872172,0.159606956087796,0.182407949814624
"TSL_Pond_Dry.M.ber1",0.110650823155776,0.200698392691939,0.401396785383878
"TSL_Pond_Dry.N.pet1",1.53726951253042,0.641695799084632,0.691057014398834
"TSL_Pond_Wet.G.hol1",0.536098862794074,0.212711523205661,0.232048934406176
"TSL_Pond_Wet.G.hol2",1.72817364904047,0.664360484164781,0.703440512645062
"TSL_Pond_Wet.H.for2",0.00824111526681928,0.0149477296315377,0.0298954592630754
"TSL_Pond_Wet.L.goo1",0.416639995847756,0.141443111110127,0.149301061727357
"TSL_Pond_Wet.L.goo2",0.925992160091169,0.280984451196984,0.296594698485705
"TSL_Pond_Wet.L.mac1",0.879257506100957,0.813456246198489,1.08460832826465
"TSL_Pond_Wet.L.sic1",0.66829302722801,0.21042222509893,0.220442331056022
"TSL_Pond_Wet.M.sal1",3.03995474444409,1.09664924159751,1.16518981919735
"TSL_Pond_Wet.M.sia1",0.200472182936537,0.18605582272082,0.206728691912022
"TSL_Pond_Wet.N.pet1",0.0668600140204873,0.0369172980908692,0.0415319603522278
"TSL_Pond_Wet.T.mar1",0.636858783335918,0.267580283240667,0.30102781864575
