"ID","Species","Sample_Type","Season","Month","Day","Year","Slough","Site","Habitat","Method","Throw","Length","Wet_Weight","Sex","Stomach_Kept","Comments","Freezer","Tube_Weight","Total_Mass","Sorted","neg_80_freezer","Freeze_Dried","Dried","Crushed","Isotope","Decarb","Entered_by","Checked_by","Count","size_class"
"CL07","CLABAT","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,230,149.13,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"C.bat1"
"CL09","CLABAT","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,250,290,NA,"Y","SPOTS ON UNDERBELLY",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"C.bat1"
"CL10","CLABAT","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,240,250,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"C.bat1"
"CL11","CLABAT","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,231,200,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"C.bat1"
"CL12","CLABAT","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,260,290,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"C.bat1"
"CL13","CLABAT","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,240,240,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"C.bat1"
"CL14","CLABAT","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,232,210,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"C.bat1"
"CL15","CLABAT","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,250,250,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"C.bat1"
"LMi06","LEPMIC","vert","Wet","12","7",2018,"SRS","37","Marsh","FT",NA,170,72.958,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"L.mic2"
"LMi07","LEPMIC","vert","Wet","12","7",2018,"SRS","37","Marsh","FT",NA,109.1,55.381,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"L.mic2"
"LMi28","LEPMIC","vert","Wet","12","17",2018,"SRS","37","Marsh","FT",NA,113.9,64.201,NA,"Y","37N?? HYDROSTATTION",NA,NA,NA,"Y","Y","Y","Y","N","N","N","MS","VG",NA,"L.mic2"
"LPu24","LEPPUN","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,59.71,6.272,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"L.pun2"
"LPu25","LEPPUN","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,41.54,1.845,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"L.pun2"
"MS70","MACSIA","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,250,111.022,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","VG","MS",NA,"M.sia1"
"MS79","MACSIA","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,190,110,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"M.sia1"
"MS80","MACSIA","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,186,100,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"M.sia1"
"OA06","OREAUR","vert","Wet","12","7",2018,"SRS","37","Marsh","EFISH",NA,228,250,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA07","OREAUR","vert","Wet","12","7",2018,"SRS","37","Marsh","EFISH",NA,202,400,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA08","OREAUR","vert","Wet","12","7",2018,"SRS","37","Marsh","EFISH",NA,198,340,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA09","OREAUR","vert","Wet","12","7",2018,"SRS","37","Marsh","EFISH",NA,224,240,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA10","OREAUR","vert","Wet","12","7",2018,"SRS","37","Marsh","EFISH",NA,190,300,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA11","OREAUR","vert","Wet","12","7",2018,"SRS","37","Marsh","EFISH",NA,164,200,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA15","OREAUR","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,154,210,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA16","OREAUR","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,182,280,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA17","OREAUR","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,190,260,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA18","OREAUR","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,185,250,NA,"Y","FORGOT TO WEIGH AND MEASURE: ~185MM (SL) AND ~250G BASED ON RELATIVE SIZE OF OTHER FISH PROCESSED AT SAME TIME",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA19","OREAUR","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,184,240,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA20","OREAUR","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,150,150,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA21","OREAUR","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,238,600,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA22","OREAUR","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,142,100,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA28","OREAUR","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,280,900,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"O.aur1"
"OA29","OREAUR","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,231,600,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"O.aur1"
"SK01","SNOOK","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,230,200,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"C.und1"
"SK02","SNOOK","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,391,800,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"C.und1"
"SK03","SNOOK","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,442,1150,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"C.und1"
"AC01","AMICAL","vert","Wet","12","7",2018,"SRS","37A","Pond","EFISH",NA,420,1250,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"A.cal2"
"LP18","LEPPLA","vert","Wet","12","7",2018,"SRS","37A","Pond","EFISH",NA,238.3,320,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","Y","Y","SS","VG",NA,"L.pla1"
"MC01","MICSAL","vert","Wet","12","7",2018,"SRS","37A","Pond","EFISH",NA,340,850,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"M.sal1"
"MC02","MICSAL","vert","Wet","12","7",2018,"SRS","37A","Pond","EFISH",NA,410,700,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"M.sal1"
"MC20","MICSAL","vert","Wet","12","17",2018,"SRS","37A","Pond","EFISH",NA,290,500,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"M.sal1"
"MC41","MICSAL","vert","Wet","12","7",2018,"SRS","37A","Pond","EFISH",NA,270,510,NA,"Y","5 LP IN FREEZER",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"M.sal1"
"MC42","MICSAL","vert","Wet","12","7",2018,"SRS","37A","Pond","EFISH",NA,200,290,NA,"Y","5 LP IN SECOND BAG",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"M.sal1"
"OA01","OREAUR","vert","Wet","12","7",2018,"SRS","37A","Pond","EFISH",NA,260,195.085,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"CU09","CICURO","vert","Wet","12","7",2018,"SRS","37B","Pond","EFISH",NA,194,300,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"C.uro2"
"MC09","MICSAL","vert","Wet","12","7",2018,"SRS","37B","Pond","EFISH",NA,300,650,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"M.sal1"
"OA02","OREAUR","vert","Wet","12","7",2018,"SRS","37B","Pond","EFISH",NA,311,350,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"NANA",NA,"vert","Wet","12","17",2018,"SRS","37B","Pond","EFISH",NA,NA,NA,NA,NA,"2 LP IN FREEZER",NA,NA,NA,"N","N","N","N","N","N","N","MS","",NA,NA
"LP42","LEPPLA","vert","Wet","12","7",2018,"SRS","37C","Pond","EFISH",NA,490,850,NA,"Y","EGG",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"L.pla2"
"MS78","MACSIA","vert","Wet","12","7",2018,"SRS","37C","Pond","EFISH",NA,200,110,NA,"Y","5 LP AND 1 LL IN FREEZER",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"M.sia1"
"MC15","MICSAL","vert","Wet","12","7",2018,"SRS","37C","Pond","EFISH",NA,300,400,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"M.sal1"
"MC43","MICSAL","vert","Wet","12","7",2018,"SRS","37C","Pond","EFISH",NA,342,850,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"M.sal1"
"OA03","OREAUR","vert","Wet","12","7",2018,"SRS","37C","Pond","EFISH",NA,260,700,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"OA04","OREAUR","vert","Wet","12","7",2018,"SRS","37C","Pond","EFISH",NA,190,240,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"O.aur1"
"LPu16","LEPPUN","vert","Wet","12","5",2018,"SRS","6A","Pond","EFISH",NA,119.17,64.285,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"L.pun3"
"AN04","AMENAT","vert","Wet","12","5",2018,"SRS","6B","Pond","EFISH",NA,170,102.95,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"A.nat3"
"AN05","AMENAT","vert","Wet","12","5",2018,"SRS","6B","Pond","EFISH",NA,175,155.763,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"A.nat3"
"EU06","ERISUC","vert","Wet","12","5",2018,"SRS","6B","Pond","EFISH",NA,72.85,9.371,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"E.suc1"
"CU76","CICURO","vert","Wet","12","5",2018,"SRS","6C","Pond","EFISH",NA,59.14,8.654,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"C.uro1"
"EU14","ERISUC","vert","Wet","12","5",2018,"SRS","6C","Pond","EFISH",NA,125.21,55.784,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"E.suc2"
"EU15","ERISUC","vert","Wet","12","6",2018,"SRS","7B","Pond","EFISH",NA,121.78,46.66,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"E.suc2"
"LL52","LEPGUL","vert","Wet","12","6",2018,"SRS","7B","Pond","EFISH",NA,105.57,56.446,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"L.gul3"
"SL14","SIRLAC","vert","Wet","12","6",2018,"SRS","7B","Pond","EFISH",NA,395,175.234,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"S.lac1"
"AC02","AMICAL","vert","Wet","12","6",2018,"SRS","7C","Pond","EFISH",NA,390,950,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"A.cal2"
"AC03","AMICAL","vert","Wet","12","6",2018,"SRS","7C","Pond","EFISH",NA,440,1500,NA,"Y","STOMACH IN 2 VIALS, EGGS IN 3 VIALS",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"A.cal2"
"EU05","ERISUC","vert","Wet","12","6",2018,"SRS","7C","Pond","EFISH",NA,103.92,25.324,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"E.suc2"
"FC213","FUNCHR","vert","Wet","12","6",2018,"SRS","7C","Pond","EFISH",NA,53.78,3.506,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"F.chr2"
"LL26","LEPGUL","vert","Wet","12","6",2018,"SRS","7C","Pond","EFISH",NA,76.05,17.927,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"L.gul2"
"LPu12","LEPPUN","vert","Wet","12","6",2018,"SRS","7C","Pond","EFISH",NA,71.27,14.341,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"L.pun2"
"AN01","AMENAT","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,128.95,49.348,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"A.nat2"
"CO03","CICOCE","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,101.41,51.819,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"C.oce1"
"CU59","CICURO","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,61.83,9.286,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"C.uro1"
"CU60","CICURO","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,62.91,8.277,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"C.uro1"
"CU61","CICURO","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,60.74,8.996,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"C.uro1"
"CU62","CICURO","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,62.39,10.306,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"C.uro1"
"CU63","CICURO","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,65.04,11.329,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"C.uro1"
"CU64","CICURO","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,99.92,43.148,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"C.uro1"
"CU65","CICURO","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,115.54,67.849,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"C.uro1"
"CV03","CIPVAR","vert","Wet","12","7",2018,"SRS","8A","Marsh","EFISH",NA,22.43,0.354,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"C.var1"
"EU03","ERISUC","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,73.93,9.632,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"E.suc1"
"FC214","FUNCHR","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,39.16,1.338,NA,"Y","MELANI",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"F.chr1"
"HM21","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,68.22,11.12,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM22","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,62.07,7.872,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM23","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,58.17,6.844,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM24","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,53.88,5.541,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM25","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,46.4,3.338,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM26","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,49.15,4.33,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM27","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,57.18,5.708,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM28","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,51.48,5.137,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM29","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,55.09,5.951,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM30","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,53.07,5.727,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM31","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,52.22,4.902,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM32","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,47.63,3.995,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM33","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,59.76,7.392,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM34","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,46.91,3.765,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM35","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,56.12,6.408,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM36","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,38.56,1.975,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM37","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,59.45,6.377,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM38","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,47.13,3.833,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM39","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,56.84,5.916,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM40","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,58.32,7.162,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM41","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,53.79,5.408,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM42","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,48.23,4.169,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM43","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,53.99,5.458,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"HM44","HEMLET","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,53.61,5.159,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"H.let1"
"LL16","LEPGUL","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,111.12,61.24,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"L.gul3"
"LPu02","LEPPUN","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,70.57,14.296,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"L.pun2"
"MT03","MELTUB","invert","Wet","12","7",2018,"SRS","8A","Marsh","EFISH",NA,NA,3.947,NA,NA,"",NA,NA,NA,"Y","N","N","N","N","N","N","","",3,NA
"MT04","MELTUB","invert","Wet","12","7",2018,"SRS","8A","Marsh","EFISH",NA,NA,NA,NA,NA,"",NA,NA,NA,"Y","N","N","N","N","N","N","","",NA,NA
"MT05","MELTUB","invert","Wet","12","7",2018,"SRS","8A","Marsh","EFISH",NA,NA,NA,NA,NA,"",NA,NA,NA,"Y","N","N","N","N","N","N","","",NA,NA
"OA23","OREAUR","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,72.79,15.954,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"O.aur1"
"OA24","OREAUR","vert","Wet","12","18",2018,"SRS","8A","Marsh","EFISH",NA,74.19,17.459,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"O.aur1"
"AC04","AMICAL","vert","Wet","12","7",2018,"SRS","8B","Marsh","EFISH",NA,421,1700,NA,"Y","EGG",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"A.cal2"
