"","size_class","Invasion_Status","Habitat","Season","Length","Wet_Weight","X","Amphipoda","Araneae","Argulus","Belo.Naucor","Centrarchid","Chironomid","Cladocera","Coleoptera","Collembola","Copepoda","Cyprinodontid","Detritus","Diptera","Ephemeroptera","Green.Algae","Hemiptera","Hydrachnidia","Hymenoptera","Misc","Misc.Fish","Misc.Invert","Mollusca","Odonata","Oligochaeta","Ostracoda","Palaemonetes","Periphyton","Procambarus","Trichoptera","Vasc.Plant"
"AN15","A.nat3","Post-Invasion","Pond","Dry",155,93.732,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AN16","A.nat3","Post-Invasion","Pond","Dry",163,117.985,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AN17","A.nat4","Post-Invasion","Pond","Dry",188,147.136,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN18","A.nat1","Post-Invasion","Marsh","Dry",92.65,21.488,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN20","A.nat4","Post-Invasion","Marsh","Wet",192,250,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN21","A.nat3","Post-Invasion","Pond","Dry",175,250,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AN22","A.nat4","Post-Invasion","Pond","Dry",210,250,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AN23","A.nat4","Post-Invasion","Pond","Dry",212,280,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN24","A.nat1","Post-Invasion","Pond","Dry",90.36,12.17,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN25","A.nat3","Post-Invasion","Pond","Dry",146.45,65.268,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AN26","A.nat3","Post-Invasion","Pond","Dry",146.46,71.766,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AN27","A.nat4","Post-Invasion","Pond","Dry",184,113.312,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AN28","A.nat4","Post-Invasion","Pond","Dry",178,118.903,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN29","A.nat4","Post-Invasion","Pond","Dry",200,129.204,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN30","A.nat4","Post-Invasion","Pond","Dry",198,290,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"AT01","A.gry1","Post-Invasion","Pond","Wet",8.93,0.085,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
"AT03","A.gry1","Post-Invasion","Pond","Wet",16.12,0.758,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BB02","B.bel1","Post-Invasion","Pond","Wet",45.55,1.028,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BB06","B.bel1","Post-Invasion","Pond","Wet",15.06,0.022,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BB09","B.bel1","Post-Invasion","Pond","Dry",53.86,2.15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BB10","B.bel1","Post-Invasion","Pond","Dry",61.32,3.146,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB14","B.bel1","Post-Invasion","Pond","Wet",61.53,3.101,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"BB15","B.bel1","Post-Invasion","Marsh","Dry",60.23,2.26,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CL04","C.bat1","Post-Invasion","Marsh","Wet",164,18.609,54,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
"CL05","C.bat1","Post-Invasion","Pond","Dry",69.09,7.615,55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CL07","C.bat1","Post-Invasion","Marsh","Wet",230,149.13,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CL09","C.bat1","Post-Invasion","Marsh","Wet",250,290,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"CL10","C.bat1","Post-Invasion","Marsh","Wet",240,250,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CL11","C.bat1","Post-Invasion","Marsh","Wet",231,200,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CL12","C.bat1","Post-Invasion","Marsh","Wet",260,290,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,1,0,1,0,0
"CL13","C.bat1","Post-Invasion","Marsh","Wet",240,240,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
"CL15","C.bat1","Post-Invasion","Marsh","Wet",250,250,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"CL16","C.bat1","Post-Invasion","Pond","Wet",270,210,66,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CM08","C.man1","Post-Invasion","Pond","Dry",86.1,17.723,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CO03","C.oce1","Post-Invasion","Marsh","Wet",101.41,51.819,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CU09","C.uro2","Post-Invasion","Pond","Wet",194,300,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"CU10","C.uro1","Post-Invasion","Pond","Wet",101.85,50.01,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"CU11","C.uro1","Post-Invasion","Marsh","Wet",56.61,7.032,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"CU12","C.uro1","Post-Invasion","Marsh","Wet",99.04,42.427,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"CU13","C.uro1","Post-Invasion","Marsh","Wet",101,43.284,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0
"CU15","C.uro2","Post-Invasion","Marsh","Wet",184,250,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CU17","C.uro2","Post-Invasion","Marsh","Wet",130.88,107.07,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CU18","C.uro1","Post-Invasion","Marsh","Wet",63.15,11.61,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"CU19","C.uro1","Post-Invasion","Marsh","Wet",57.91,8.063,85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0
"CU20","C.uro2","Post-Invasion","Marsh","Wet",186,250,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"CU21","C.uro2","Post-Invasion","Marsh","Wet",166,150,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"CU23","C.uro2","Post-Invasion","Pond","Wet",150,200,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CU29","C.uro1","Post-Invasion","Marsh","Wet",106.26,53.048,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0
"CU38","C.uro1","Post-Invasion","Marsh","Wet",71.62,16.036,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CU59","C.uro1","Post-Invasion","Marsh","Wet",61.83,9.286,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"CU60","C.uro1","Post-Invasion","Marsh","Wet",62.91,8.277,98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"CU61","C.uro1","Post-Invasion","Marsh","Wet",60.74,8.996,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0
"CU62","C.uro1","Post-Invasion","Marsh","Wet",62.39,10.306,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0
"CU63","C.uro1","Post-Invasion","Marsh","Wet",65.04,11.329,101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"CU64","C.uro1","Post-Invasion","Marsh","Wet",99.92,43.148,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,21,0,0,0,0,0,0,0,0
"CU65","C.uro1","Post-Invasion","Marsh","Wet",115.54,67.849,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0
"CU69","C.uro1","Post-Invasion","Pond","Wet",109.57,56.341,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,26,1,0,0,0,0,0,0,0
"CU71","C.uro1","Post-Invasion","Pond","Wet",97.38,35.078,108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"CU72","C.uro1","Post-Invasion","Pond","Wet",56.13,5.602,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"CU73","C.uro1","Post-Invasion","Pond","Wet",58.05,6.826,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0
"CU76","C.uro1","Post-Invasion","Pond","Wet",59.14,8.654,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0
"CU77","C.uro1","Post-Invasion","Marsh","Dry",44.04,3.122,113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"CU79","C.uro1","Post-Invasion","Marsh","Wet",85.52,60.549,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"CU81","C.uro1","Post-Invasion","Marsh","Dry",54.47,6.911,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0
"CU82","C.uro1","Post-Invasion","Marsh","Dry",65.99,10.335,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"CU83","C.uro1","Post-Invasion","Marsh","Dry",99.88,38.937,118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"CU85","C.uro2","Post-Invasion","Pond","Dry",141.56,200,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CV03","C.var1","Post-Invasion","Marsh","Wet",22.43,0.354,121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"EA01","E.ame1","Post-Invasion","Marsh","Dry",156,45.604,122,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE19","E.eve1","Post-Invasion","Pond","Wet",16.06,0.137,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"EE20","E.eve1","Post-Invasion","Marsh","Wet",15.24,0.119,140,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE22","E.eve1","Post-Invasion","Marsh","Wet",16.14,0.134,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"EE47","E.eve1","Post-Invasion","Pond","Wet",22.7,0.401,164,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"EE48","E.eve1","Post-Invasion","Pond","Wet",15.6,0.117,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EE49","E.eve1","Post-Invasion","Pond","Wet",17.15,0.123,166,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE50","E.eve1","Post-Invasion","Pond","Wet",18.97,0.237,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EE52","E.eve1","Post-Invasion","Pond","Wet",17.23,0.199,169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE53","E.eve1","Post-Invasion","Pond","Wet",16.05,0.134,170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EE55","E.eve1","Post-Invasion","Marsh","Dry",15.95,0.118,172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE56","E.eve1","Post-Invasion","Marsh","Dry",13.86,0.096,173,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"EE66","E.eve1","Post-Invasion","Pond","Dry",12.57,0.06,174,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE67","E.eve1","Post-Invasion","Marsh","Dry",10.45,0.028,175,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE68","E.eve1","Post-Invasion","Marsh","Dry",10.72,0.034,176,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE69","E.eve1","Post-Invasion","Marsh","Dry",21.09,0.296,177,6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"EE70","E.eve1","Post-Invasion","Marsh","Dry",14.29,0.075,178,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE72","E.eve1","Post-Invasion","Marsh","Dry",15.76,0.137,180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE73","E.eve1","Post-Invasion","Marsh","Dry",18.3,0.181,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"EG15","E.glo1","Post-Invasion","Pond","Wet",36.62,1.453,191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0
"EG42","E.glo1","Post-Invasion","Marsh","Wet",31.45,1.001,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,0
"EG55","E.glo1","Post-Invasion","Pond","Wet",26.6,0.645,195,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"EG56","E.glo1","Post-Invasion","Pond","Wet",31.94,0.911,196,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"EG60","E.glo1","Post-Invasion","Marsh","Dry",35.64,1.611,197,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"EG83","E.glo1","Post-Invasion","Marsh","Dry",36.63,1.921,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"EG84","E.glo1","Post-Invasion","Marsh","Dry",37.53,2.124,199,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"EG85","E.glo1","Post-Invasion","Marsh","Dry",38.07,2.571,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"EG86","E.glo1","Post-Invasion","Marsh","Dry",41.68,2.881,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU01","E.suc1","Post-Invasion","Marsh","Wet",50,8.691,202,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,12,0,0,0,0,0
"EU02","E.suc1","Post-Invasion","Marsh","Wet",98,27.09,203,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU03","E.suc1","Post-Invasion","Marsh","Wet",73.93,9.632,204,2,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"EU05","E.suc2","Post-Invasion","Pond","Wet",103.92,25.324,205,3,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU06","E.suc1","Post-Invasion","Pond","Wet",72.85,9.371,206,0,0,0,0,0,6,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"EU07","E.suc1","Post-Invasion","Pond","Wet",91.33,20.986,207,4,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU08","E.suc1","Post-Invasion","Pond","Wet",77.78,10.201,208,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"EU09","E.suc1","Post-Invasion","Pond","Wet",89.87,16.753,209,0,0,0,0,0,6,14,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"EU10","E.suc2","Post-Invasion","Pond","Wet",120.97,41.744,210,0,0,0,0,0,11,24,0,0,0,0,1,0,0,0,0,1,0,0,0,17,0,0,0,6,0,0,0,0,0
"EU12","E.suc1","Post-Invasion","Pond","Wet",99.23,22.552,212,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU16","E.suc1","Post-Invasion","Pond","Dry",99.53,22.537,216,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
"EU17","E.suc1","Post-Invasion","Pond","Dry",91.2,18.639,217,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU18","E.suc2","Post-Invasion","Pond","Dry",111.13,26.893,218,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU19","E.suc2","Post-Invasion","Pond","Dry",121.72,44.685,219,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU20","E.suc2","Post-Invasion","Pond","Dry",140.26,62.441,220,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU21","E.suc1","Post-Invasion","Marsh","Dry",63,6.091,221,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
"EU22","E.suc1","Post-Invasion","Marsh","Dry",78.31,12.034,222,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU23","E.suc1","Post-Invasion","Marsh","Dry",84.72,13.777,223,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0
"EU24","E.suc1","Post-Invasion","Marsh","Dry",90.39,16.204,224,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FC112","F.chr1","Post-Invasion","Marsh","Wet",21.27,0.153,227,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FC113","F.chr1","Post-Invasion","Marsh","Wet",20.67,0.161,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0
"FC114","F.chr1","Post-Invasion","Marsh","Wet",15.46,0.064,229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FC115","F.chr1","Post-Invasion","Marsh","Wet",14.04,0.058,230,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
"FC116","F.chr1","Post-Invasion","Marsh","Wet",24.21,0.316,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FC117","F.chr1","Post-Invasion","Marsh","Wet",14.31,0.059,232,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
"FC122","F.chr1","Post-Invasion","Pond","Wet",16.29,0.063,234,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
"FC123","F.chr1","Post-Invasion","Pond","Wet",13.07,0.03,235,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FC124","F.chr1","Post-Invasion","Pond","Wet",14.93,0.053,236,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
