size_class,Invasion_Status,Habitat,Season,N,Length,Wet_Weight,Amphipoda,Araneae,Argulus,Belo.Naucor,Centrarchid,Chironomid,Cladocera,Coleoptera,Collembola,Copepoda,Cyprinodontid,Detritus,Diptera,Ephemeroptera,Green.Algae,Hemiptera,Hydrachnidia,Hymenoptera,Misc,Misc.Fish,Misc.Invert,Mollusca,Odonata,Oligochaeta,Ostracoda,Palaemonetes,Periphyton,Procambarus,Trichoptera,Vasc.Plant
A.nat1,Pre-Invasion,Pond,Wet,22,75.45± 15.23,10.26± 6.62,0.25± 0.3,0± 0,0± 0,0.01± 0.02,0± 0,0.04± 0.09,0± 0,0.02± 0.11,0± 0,0± 0,0± 0,0.1± 0.29,0.01± 0.04,0± 0,0± 0,0.04± 0.11,0± 0,0± 0,0± 0,0± 0,0.04± 0.12,0± 0,0.3± 0.35,0± 0.01,0.05± 0.13,0.01± 0.03,0± 0.02,0.06± 0.15,0.07± 0.15,0± 0
A.nat2,Post-Invasion,Marsh,Wet,1,128.95± NA,49.35± NA,0± NA,0± NA,0± NA,0.04± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.04± NA,0± NA,0.78± NA,0.11± NA,0± NA,0± NA,0.04± NA,0± NA,0± NA,0± NA,0± NA
A.nat2,Pre-Invasion,Marsh,Wet,4,117.2± 12.18,37.38± 13.18,0.12± 0.25,0.04± 0.05,0± 0,0.02± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.04,0.38± 0.25,0± 0,0.08± 0.17,0.12± 0.14,0± 0,0.21± 0.25,0± 0,0± 0
A.nat2,Post-Invasion,Pond,Dry,4,117.75± 11.5,51.01± 22.12,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.25± 0.5,0.75± 0.5,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
A.nat2,Pre-Invasion,Pond,Dry,46,118.14± 10.81,38.65± 14.33,0.01± 0.04,0± 0,0.02± 0.1,0± 0,0± 0,0± 0.01,0± 0.01,0± 0,0± 0,0± 0,0± 0,0.87± 0.27,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.12,0± 0,0.01± 0.05,0± 0,0± 0,0± 0.01,0.03± 0.12,0± 0,0.02± 0.15,0± 0.01,0± 0
A.nat2,Pre-Invasion,Pond,Wet,14,112.36± 12.74,33.65± 13.73,0.07± 0.19,0± 0,0± 0,0± 0,0± 0,0.14± 0.36,0± 0,0± 0,0± 0,0± 0,0± 0,0.2± 0.36,0.01± 0.04,0.01± 0.04,0± 0,0.01± 0.05,0± 0,0± 0,0± 0,0.02± 0.09,0.04± 0.13,0.02± 0.09,0.15± 0.3,0± 0,0± 0,0.11± 0.28,0± 0,0.2± 0.31,0± 0,0± 0
A.nat3,Pre-Invasion,Marsh,Wet,1,157± NA,97.61± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,1± NA
A.nat3,Post-Invasion,Pond,Dry,6,155.65± 11.46,112.99± 69.69,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.33± 0.41,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.5± 0.45,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.17± 0.41,0± 0,0± 0,0± 0
A.nat3,Pre-Invasion,Pond,Dry,19,149.42± 13.56,57.94± 36.03,0± 0,0± 0,0.08± 0.21,0.01± 0.06,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.74± 0.38,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.11,0.07± 0.23,0± 0,0± 0,0.01± 0.06,0± 0,0± 0,0.07± 0.16,0± 0,0± 0,0± 0,0± 0
A.nat3,Post-Invasion,Pond,Wet,1,150± NA,79.49± NA,0± NA,0± NA,0± NA,0.07± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.07± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.57± NA,0.14± NA,0± NA,0± NA,0.14± NA,0± NA,0± NA,0± NA,0± NA
A.nat3,Pre-Invasion,Pond,Wet,9,152± 10.34,86.5± 19.72,0± 0,0± 0,0± 0,0.01± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.37± 0.41,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.07± 0.13,0.04± 0.11,0.08± 0.24,0.03± 0.08,0± 0,0± 0,0.11± 0.33,0.08± 0.18,0.2± 0.35,0± 0,0± 0
A.nat4,Post-Invasion,Marsh,Wet,1,192± NA,250± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
A.nat4,Post-Invasion,Pond,Dry,8,193.75± 13.2,182.96± 76.33,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.67± 0.39,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.12± 0.23,0± 0,0± 0,0± 0,0.04± 0.12,0± 0,0± 0,0.04± 0.12,0.12± 0.23,0± 0,0± 0,0± 0
A.nat4,Pre-Invasion,Pond,Dry,5,211.4± 15.27,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.4± 0.55,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.4± 0.55,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.2± 0.45,0± 0,0± 0
A.nat4,Pre-Invasion,Pond,Wet,8,208.12± 17.59,184.61± 121.94,0± 0,0± 0,0± 0,0± 0,0.06± 0.12,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.08,0.16± 0.22,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.12± 0.27,0.04± 0.12,0.03± 0.08,0.02± 0.06,0± 0,0± 0,0.12± 0.22,0± 0,0.43± 0.4,0± 0,0± 0
A.xen1,Pre-Invasion,Marsh,Dry,2,25.9± 0.99,0.37± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0.25± 0.35,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.75± 0.35,0± 0,0± 0,0± 0
B.bel1,Post-Invasion,Marsh,Dry,1,60.23± NA,2.26± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
B.bel1,Pre-Invasion,Marsh,Dry,3,57.67± 5.69,2.57± 0.82,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,1± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
B.bel1,Post-Invasion,Pond,Dry,2,57.59± 5.28,2.65± 0.7,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.5± 0.71,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.5± 0.71,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
B.bel1,Pre-Invasion,Pond,Dry,7,59.43± 3.95,2.72± 0.7,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,1± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
B.bel1,Post-Invasion,Pond,Wet,3,40.71± 23.61,1.38± 1.57,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,1± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
B.bel1,Pre-Invasion,Pond,Wet,2,52.5± 3.54,1.68± 0.45,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,1± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
B.bel2,Pre-Invasion,Marsh,Dry,6,83.5± 22.34,9.8± 8.81,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,1± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
B.bel2,Pre-Invasion,Pond,Dry,22,83.57± 16,7.97± 5.24,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.91± 0.29,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.09± 0.29,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
B.bel2,Pre-Invasion,Pond,Wet,19,98.05± 18.03,NA± NA,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.47± 0.51,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.47± 0.51,0± 0,0± 0,0± 0,0± 0,0± 0,0.05± 0.23,0± 0,0± 0,0± 0,0± 0
C.bat1,Post-Invasion,Marsh,Wet,8,233.12± 29.71,210.97± 90.5,0± 0,0± 0,0± 0,0.03± 0.09,0± 0,0.12± 0.35,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.04,0.02± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0.19± 0.37,0.18± 0.34,0± 0,0.03± 0.09,0.32± 0.4,0± 0,0± 0,0.08± 0.18,0± 0,0.02± 0.04,0± 0,0± 0
C.bat1,Post-Invasion,Pond,Dry,1,69.09± NA,7.62± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.5± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.5± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
C.bat1,Pre-Invasion,Pond,Dry,14,192.79± 35.12,79.55± 38.32,0± 0,0± 0,0± 0,0± 0,0± 0,0.21± 0.31,0± 0,0± 0,0± 0,0± 0,0± 0,0.39± 0.43,0± 0,0.01± 0.03,0± 0,0± 0,0± 0,0± 0,0.02± 0.05,0.14± 0.28,0.05± 0.14,0.01± 0.03,0.12± 0.25,0± 0,0± 0,0.05± 0.18,0± 0,0.01± 0.03,0± 0,0± 0
C.bat1,Post-Invasion,Pond,Wet,1,270± NA,210± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
C.bat1,Pre-Invasion,Pond,Wet,17,234.29± 50.14,155.53± 97.22,0.25± 0.32,0.03± 0.08,0± 0,0.08± 0.14,0± 0,0.09± 0.14,0± 0.02,0.08± 0.11,0± 0,0.01± 0.02,0± 0,0.09± 0.24,0.07± 0.16,0.01± 0.02,0± 0,0.01± 0.03,0± 0.01,0± 0,0± 0.01,0.01± 0.03,0.02± 0.05,0.04± 0.15,0.09± 0.11,0.01± 0.04,0.05± 0.13,0.03± 0.1,0± 0.02,0.01± 0.02,0± 0,0± 0
C.bim1,Pre-Invasion,Marsh,Wet,1,55± NA,8.44± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.67± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA
C.bim1,Pre-Invasion,Pond,Dry,1,48± NA,5± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.6± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.4± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
C.bim1,Pre-Invasion,Pond,Wet,2,71.5± 9.19,21.93± 8.57,0.06± 0.08,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.32± 0.14,0± 0,0.04± 0.06,0.44± 0.16,0± 0,0± 0,0± 0,0± 0,0.04± 0.06,0± 0,0± 0,0.1± 0.02
C.man1,Post-Invasion,Pond,Dry,1,86.1± NA,17.72± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
C.oce1,Post-Invasion,Marsh,Wet,1,101.41± NA,51.82± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
C.und1,Post-Invasion,Marsh,Wet,3,354.33± 110.65,716.67± 480.45,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.33± 0.58,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.33± 0.58,0.33± 0.58,0± 0,0± 0,0± 0
C.uro1,Post-Invasion,Marsh,Dry,4,66.1± 24.24,14.83± 16.34,0± 0,0± 0,0± 0,0.06± 0.12,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.06± 0.12,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.05± 0.1,0.05± 0.1,0.78± 0.17,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
C.uro1,Post-Invasion,Marsh,Wet,15,77.97± 20.77,26.75± 22.14,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.06,0± 0,0± 0,0± 0,0.01± 0.03,0± 0,0± 0,0± 0.01,0.02± 0.04,0.04± 0.1,0.88± 0.16,0.01± 0.03,0± 0,0± 0,0.01± 0.04,0± 0,0± 0,0± 0,0± 0
C.uro1,Post-Invasion,Pond,Wet,6,80.35± 25.06,27.09± 23.05,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.08,0± 0,0± 0,0± 0,0± 0,0.04± 0.06,0± 0,0± 0,0.01± 0.01,0.07± 0.17,0.84± 0.16,0.01± 0.01,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
C.uro1,Pre-Invasion,Pond,Wet,6,106.5± 9.54,52.76± 13.47,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.05,0± 0,0.03± 0.08,0± 0,0± 0,0.03± 0.08,0.27± 0.41,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.44± 0.36,0.03± 0.08,0± 0,0± 0,0.17± 0.21,0± 0,0± 0,0± 0,0± 0
C.uro2,Post-Invasion,Marsh,Wet,4,166.72± 25.53,189.27± 72.28,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.08± 0.17,0± 0,0± 0,0.12± 0.25,0± 0,0± 0,0± 0,0± 0,0.21± 0.25,0.25± 0.5,0.33± 0.47,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
C.uro2,Post-Invasion,Pond,Dry,1,141.56± NA,200± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
C.uro2,Post-Invasion,Pond,Wet,2,172± 31.11,250± 70.71,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.17± 0.24,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.5± 0.71,0± 0,0± 0,0.33± 0.47,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
C.uro2,Pre-Invasion,Pond,Wet,10,144.3± 13.6,113.75± 33.46,0.02± 0.05,0± 0,0± 0,0± 0,0± 0,0.11± 0.2,0.04± 0.08,0± 0,0± 0,0.01± 0.04,0.05± 0.16,0.16± 0.2,0± 0,0± 0,0.03± 0.08,0± 0,0± 0,0± 0,0.03± 0.08,0.26± 0.35,0± 0,0.27± 0.44,0± 0,0± 0,0± 0,0.01± 0.02,0.03± 0.05,0± 0,0± 0,0± 0
C.var1,Pre-Invasion,Marsh,Dry,5,22.16± 2.5,0.3± 0.13,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.07,0.17± 0.24,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.07,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.73± 0.38,0± 0,0± 0,0.03± 0.07
C.var1,Post-Invasion,Marsh,Wet,1,22.43± NA,0.35± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.5± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.5± NA,0± NA,0± NA,0± NA
C.var1,Pre-Invasion,Marsh,Wet,25,17.88± 1.47,0.14± 0.04,0.01± 0.05,0± 0,0± 0,0± 0,0± 0,0.08± 0.15,0.24± 0.24,0.01± 0.05,0.01± 0.05,0.07± 0.12,0± 0,0± 0,0.01± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0.07± 0.16,0.09± 0.26,0± 0,0± 0,0± 0,0± 0,0± 0.01,0± 0,0.4± 0.33,0± 0,0± 0,0± 0
E.ame1,Post-Invasion,Marsh,Dry,1,156± NA,45.6± NA,0± NA,0± NA,0± NA,0± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
E.eve1,Post-Invasion,Marsh,Dry,8,15.05± 3.59,0.12± 0.09,0.21± 0.36,0± 0,0± 0,0± 0,0± 0,0.36± 0.48,0.17± 0.36,0± 0,0.01± 0.03,0± 0,0± 0,0± 0,0± 0,0± 0,0.04± 0.07,0± 0,0± 0,0± 0,0± 0,0± 0,0.12± 0.35,0.01± 0.03,0± 0,0± 0,0.07± 0.15,0± 0,0± 0,0± 0,0± 0,0± 0
E.eve1,Pre-Invasion,Marsh,Dry,24,17.58± 2.88,0.19± 0.13,0.09± 0.13,0± 0,0± 0,0± 0,0± 0,0.16± 0.15,0.39± 0.25,0.02± 0.05,0± 0,0.15± 0.18,0± 0,0.02± 0.06,0± 0,0.01± 0.05,0± 0,0± 0,0± 0.02,0± 0,0± 0,0± 0,0± 0,0.02± 0.05,0± 0,0± 0,0.12± 0.15,0.01± 0.03,0.02± 0.05,0± 0,0± 0,0± 0
E.eve1,Post-Invasion,Marsh,Wet,2,15.69± 0.64,0.13± 0.01,0.25± 0.35,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.25± 0.35,0± 0,0± 0,0± 0,0± 0,0.25± 0.35,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.25± 0.35,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
E.eve1,Pre-Invasion,Marsh,Wet,22,15.64± 2.32,0.1± 0.05,0.11± 0.16,0± 0,0± 0,0± 0,0± 0,0.21± 0.2,0.18± 0.17,0± 0,0± 0,0.31± 0.24,0± 0,0± 0,0± 0,0.04± 0.07,0± 0,0± 0,0.01± 0.02,0± 0,0.02± 0.05,0± 0,0± 0.01,0.04± 0.11,0± 0.01,0± 0,0.06± 0.07,0± 0,0.01± 0.04,0± 0,0± 0,0± 0
E.eve1,Post-Invasion,Pond,Dry,1,12.57± NA,0.06± NA,0± NA,0± NA,0± NA,0± NA,0± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
E.eve1,Pre-Invasion,Pond,Dry,6,17.63± 3.5,0.17± 0.08,0.25± 0.29,0± 0,0± 0,0± 0,0± 0,0± 0,0.11± 0.17,0± 0,0± 0,0.36± 0.22,0± 0,0± 0,0± 0,0.04± 0.1,0± 0,0± 0,0± 0,0± 0,0.06± 0.14,0± 0,0± 0,0± 0,0± 0,0± 0,0.1± 0.15,0± 0,0.08± 0.2,0± 0,0± 0,0± 0
